Afghanistan,1973,16,18,x,x,x,x,50.5,7.7,18.1,26,x,x,x
Afghanistan,1974,16,18,x,x,1.6,1.6,x,x,x,x,x,x,x
Afghanistan,1979,16,18,11.14279802,45.79601619,x,x,53.7,9.2,15.4,25.3,x,x,x
Afghanistan,1985,16,18,x,x,x,x,x,x,x,x,28.3,92.7,x
Afghanistan,1986,16,18,x,x,x,x,x,x,x,x,28.3,x,x
Afghanistan,1987,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1988,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1989,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1990,16,18,x,x,x,x,x,x,x,x,28.2,92.8,x
Afghanistan,1991,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1992,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1993,16,18,x,x,x,x,x,x,x,x,28.1,x,x
Afghanistan,1994,16,18,x,x,x,x,x,x,x,x,28.1,x,x
Afghanistan,1995,16,18,x,x,x,x,x,x,x,x,28,92.9,x
Afghanistan,1996,16,18,x,x,x,x,x,x,x,x,28.1,x,x
Afghanistan,1997,16,18,x,x,x,x,x,x,x,x,28.1,x,x
Afghanistan,1998,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,1999,16,18,x,x,x,x,x,x,x,x,28.2,x,x
Afghanistan,2000,16,18,12.6,43.1,3.6,4.9,x,x,x,x,28.2,93,x
Afghanistan,2001,16,18,x,x,x,x,x,x,x,x,28.4,x,x
Afghanistan,2002,16,18,x,x,x,x,x,x,x,x,28.6,94.2,x
Afghanistan,2003,16,18,x,x,8.7,10.3,x,x,x,x,28.8,x,x
Afghanistan,2004,16,18,x,x,x,x,x,x,x,x,28.8,x,x
Afghanistan,2005,16,18,x,x,12.5,13.6,x,x,x,x,29,93.1,x
Afghanistan,2006,16,18,x,x,15.5,18.6,x,x,x,x,29.4,x,x
Afghanistan,2008,16,18,x,x,15.2,22.8,40,14,15,25.3,x,x,x
Afghanistan,2010,16,18,x,x,16.3,21.8,17.3,x,21.5,x,x,x,x
Algeria,1966,18,21,x,x,x,x,46.5,4.7,18.4,23.9,x,x,x
Algeria,1977,18,21,x,x,x,x,23.6,2.5,21,25.3,x,x,x
Algeria,1985,18,21,x,x,x,x,x,x,x,x,20.5,98.9,51476
Algeria,1986,18,21,x,x,x,x,x,x,x,x,20.9,x,41659
Algeria,1987,18,21,74.32726689,86.23008992,31.3,35.8,9.6,0.8,23.7,27.7,21.3,x,x
Algeria,1988,18,21,x,x,x,x,x,x,x,x,21.7,x,x
Algeria,1989,18,21,x,x,x,x,x,x,x,x,22.2,x,x
Algeria,1990,18,21,x,x,x,x,x,x,x,x,22.6,98.5,x
Algeria,1991,18,21,x,x,x,x,x,x,x,x,23.1,x,x
Algeria,1992,18,21,x,x,43.2,50.9,3.5,x,25.9,x,23.5,x,x
Algeria,1993,18,21,x,x,x,x,x,x,x,x,24,x,x
Algeria,1994,18,21,x,x,x,x,x,x,x,x,24.5,x,x
Algeria,1995,18,21,x,x,49.4,56.9,x,x,x,x,24.9,98.3,x
Algeria,1996,18,21,x,x,x,x,x,x,x,x,25.4,97.3,x
Algeria,1997,18,21,x,x,x,x,x,x,x,x,26.1,97.3,x
Algeria,1998,18,21,x,x,x,x,x,x,x,x,26.7,97.3,x
Algeria,1999,18,21,x,x,x,x,x,x,x,x,27.3,98,x
Algeria,2000,18,21,x,x,50.1,64,x,x,x,x,28,98.2,x
Algeria,2001,18,21,x,x,x,x,x,x,x,x,28.5,97.9,x
